marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
Audi|Audi SQ8 4.0T TFSI quattro|SUV||No disponible|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/sq8/40t-tfsi-quattro/172893
Audi|Audi SQ8 Sportback e-tron Sportback|SUV|2599900.0|Más de $1,200,000|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2024/audi/sq8-sportback-e-tron/sportback/171248
BAIC|BAIC BJ40 Plus|SUV|972600.0|$950,000 – $999,999|Gasolina|automática 6 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/bj40/plus/172201
BAIC|BAIC EU5 1.5 Aut|Sedán||No disponible|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2025/baic/eu5/15-aut/171726
BAIC|BAIC U5 Plus Luxury|Sedán||No disponible|Gasolina|manual 5 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/u5-plus/luxury/171341
BAIC|BAIC U5 Plus Luxury Aut|Sedán||No disponible|Gasolina|automática CVT|https://www.autocosmos.com.mx/catalogo/2025/baic/u5-plus/luxury-aut/171342
BAIC|BAIC X35 Fashion|SUV|416100.0|$400,000 – $449,999|Gasolina|manual 5 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/x35/fashion/171323
BAIC|BAIC X35 Fashion Aut|SUV|474300.0|$450,000 – $499,999|Gasolina|automática 4 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/x35/fashion-aut/171324
BAIC|BAIC X55 Honor|SUV|561900.0|$550,000 – $599,999|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/x55/honor/171465
BAIC|BAIC X55 Premium|SUV|595900.0|$550,000 – $599,999|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/baic/x55/premium/171637
Bentley|Bentley Bentayga Speed|SUV||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2023/bentley/bentayga/speed/169521
Bentley|Bentley Bentayga S|SUV||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2023/bentley/bentayga/s/169523
Bentley|Bentley Bentayga Azure|SUV||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2023/bentley/bentayga/azure/169524
